id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,225,30,48,2019-11-04,0.31,3,308,0,
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,2019-12-02,0.32,2,365,0,
5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,21,2,2021-08-08,0.02,1,250,1,
5178,Large Furnished Room Near B'way,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,536,2022-05-09,3.37,1,172,62,
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,2017-07-21,0.76,1,0,0,
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Morningside Heights,40.80316,-73.96387,Entire home/apt,135,30,56,2021-08-22,0.35,2,30,1,
5803,"Lovely Room 1 in BEST AREA; Legal Rental, Spotless",9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,118,4,211,2022-05-18,1.32,3,312,26,
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,84,30,184,2022-02-20,1.16,1,227,4,
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,Brooklyn,Greenpoint,40.72364,-73.95013,Entire home/apt,75,30,3,2019-10-30,0.02,1,0,0,
97123,Luxury Modern Times Square Suite,123456,Michael,Manhattan,Times Square,40.75812,-73.98512,Entire home/apt,350,2,89,2023-01-15,2.1,5,180,35,
98234,Cozy Brooklyn Heights Studio,234567,Sarah,Brooklyn,Brooklyn Heights,40.69892,-73.99541,Entire home/apt,185,3,156,2023-02-20,3.5,2,220,48,
99345,East Village Bohemian Loft,345678,David,Manhattan,East Village,40.72634,-73.98234,Private room,95,1,423,2023-03-10,4.2,1,300,72,
100456,SOHO Designer Apartment,456789,Emma,Manhattan,SoHo,40.72345,-74.00123,Entire home/apt,425,4,67,2023-01-28,1.8,3,150,22,
101567,Quiet Chelsea Garden Apartment,567890,James,Manhattan,Chelsea,40.74512,-74.00234,Entire home/apt,275,5,234,2023-02-15,2.9,1,190,38,
102678,Williamsburg Industrial Loft,678901,Alex,Brooklyn,Williamsburg,40.71234,-73.95678,Entire home/apt,195,2,312,2023-03-05,3.8,2,250,56,
103789,Central Park View Penthouse,789012,Victoria,Manhattan,Upper East Side,40.77345,-73.96234,Entire home/apt,650,7,45,2022-12-20,1.2,4,90,12,
104890,Harlem Brownstone Room,890123,Marcus,Manhattan,Harlem,40.80234,-73.94567,Private room,65,1,567,2023-03-12,5.1,1,340,89,
105901,Financial District Modern Studio,901234,Lisa,Manhattan,Financial District,40.70789,-74.00678,Entire home/apt,245,3,123,2023-02-28,2.4,2,200,34,

